network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,gate_A,gate_B,rule_A,rule_B,Number of Attractors,Number of Fixed Points,Number of Limit Cycles,Avg Attractor Length,Max Attractor Length,Attractor Coverage,Avg Basin Size,Max Basin Size,Basin Size Variance,Basin Size Skewness,Average Transient Length,Maximum Transient Length,Transient Length Variance,Transient Length Skewness,Garden of Eden Count,Common Sea Count,Specific Part Count,Avg Pre-image Count,Max Pre-image Count,Avg Hamming Distance per Transition,Average Sensitivity,Derrida Coefficient,Attractor Components,Attractor_Type
60,7,1,30,"A→A,B→B,A→B,B→A",AA,AND,AND,A' = A & B,B' = B & A,2,2,0,1.0,1,1.0,2.0,3,1.0,0.0,0.5,1,0.25,0.0,2,0,2,1.0,3,0.5,1.0,0.75,00; 11,Complex Composite
61,7,1,30,"A→A,B→B,A→B,B→A",OA,AND,OR,A' = A | B,B' = B & A,3,3,0,1.0,1,1.0,1.3333333333333333,2,0.2222222222222222,0.7071067811865479,0.25,1,0.1875,1.154700538379252,1,0,2,1.0,2,0.5,1.0,0.75,00; 10; 11,Complex Composite
62,7,1,30,"A→A,B→B,A→B,B→A",OO,OR,OR,A' = A | B,B' = B | A,2,2,0,1.0,1,1.0,2.0,3,1.0,0.0,0.5,1,0.25,0.0,2,0,2,1.0,3,0.5,1.0,0.75,00; 11,Complex Composite
63,7,2,31,"A→A,B→B,A→B,B⊣A",AA,AND,AND,A' = A & !B,B' = B & A,2,2,0,1.0,1,1.0,2.0,3,1.0,0.0,0.75,2,0.6875,0.4933822002181585,1,1,1,1.0,2,0.5,1.0,0.75,00; 10,Complex Composite
64,7,2,31,"A→A,B→B,A→B,B⊣A",OA,AND,OR,A' = A | !B,B' = B & A,2,2,0,1.0,1,1.0,2.0,3,1.0,0.0,0.75,2,0.6875,0.4933822002181585,1,1,1,1.0,2,0.5,1.0,0.75,10; 11,Complex Composite
65,7,2,31,"A→A,B→B,A→B,B⊣A",OO,OR,OR,A' = A | !B,B' = B | A,2,2,0,1.0,1,1.0,2.0,3,1.0,0.0,0.75,2,0.6875,0.4933822002181586,1,1,1,1.0,2,0.5,1.0,0.75,11; 01,Complex Composite
66,7,3,32,"A→A,B→B,A⊣B,B⊣A",AA,AND,AND,A' = A & !B,B' = B & !A,3,3,0,1.0,1,1.0,1.3333333333333333,2,0.2222222222222222,0.7071067811865479,0.25,1,0.1875,1.1547005383792517,1,0,2,1.0,2,0.5,1.0,0.75,00; 01; 10,Complex Composite
67,7,3,32,"A→A,B→B,A⊣B,B⊣A",OA,AND,OR,A' = A | !B,B' = B & !A,2,2,0,1.0,1,1.0,2.0,3,1.0,0.0,0.5,1,0.25,0.0,2,0,2,1.0,3,0.5,1.0,0.75,10; 01,Complex Composite
68,7,3,32,"A→A,B→B,A⊣B,B⊣A",OO,OR,OR,A' = A | !B,B' = B | !A,3,3,0,1.0,1,1.0,1.3333333333333333,2,0.2222222222222222,0.7071067811865479,0.25,1,0.1875,1.154700538379252,1,0,2,1.0,2,0.5,1.0,0.75,11; 01; 10,Complex Composite
69,7,4,33,"A→A,B⊣B,A→B,B⊣A",AA,AND,AND,A' = A & !B,B' = !B & A,1,1,0,1.0,1,1.0,4.0,4,0.0,0.0,1.0,2,0.5,0.0,2,2,0,1.0,3,1.0,1.0,0.75,00,Stable Fixed-point
70,7,4,33,"A→A,B⊣B,A→B,B⊣A",OA,AND,OR,A' = A | !B,B' = !B & A,1,0,1,2.0,2,1.0,4.0,4,0.0,0.0,0.75,2,0.6875,0.4933822002181585,1,1,1,1.0,2,1.0,1.0,0.75,"[10,11]",Pure Oscillatory
71,7,4,33,"A→A,B⊣B,A→B,B⊣A",OO,OR,OR,A' = A | !B,B' = !B | A,1,1,0,1.0,1,1.0,4.0,4,0.0,0.0,1.0,2,0.5,0.0,2,2,0,1.0,3,1.0,1.0,0.75,11,Stable Fixed-point
72,7,5,34,"A→A,B⊣B,A⊣B,B→A",AA,AND,AND,A' = A & B,B' = !B & !A,1,0,1,2.0,2,1.0,4.0,4,0.0,0.0,0.75,2,0.6875,0.4933822002181585,1,1,1,1.0,2,1.0,1.0,0.75,"[00,01]",Pure Oscillatory
73,7,5,34,"A→A,B⊣B,A⊣B,B→A",OA,AND,OR,A' = A | B,B' = !B & !A,1,1,0,1.0,1,1.0,4.0,4,0.0,0.0,1.0,2,0.5,0.0,2,2,0,1.0,3,1.0,1.0,0.75,10,Stable Fixed-point
74,7,5,34,"A→A,B⊣B,A⊣B,B→A",OO,OR,OR,A' = A | B,B' = !B | !A,1,0,1,2.0,2,1.0,4.0,4,0.0,0.0,0.75,2,0.6875,0.4933822002181586,1,1,1,1.0,2,1.0,1.0,0.75,"[10,11]",Pure Oscillatory
75,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",AA,AND,AND,A' = A & !B,B' = !B & !A,2,1,1,1.5,2,1.0,2.0,3,1.0,0.0,0.25,1,0.1875,1.1547005383792517,1,0,2,1.0,2,1.0,1.0,0.75,"[00,01]; 10",Hybrid Multimodal
76,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",OA,AND,OR,A' = A | !B,B' = !B & !A,1,1,0,1.0,1,1.0,4.0,4,0.0,0.0,1.5,3,1.25,0.0,1,2,0,1.0,2,1.0,1.0,0.75,10,Stable Fixed-point
77,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",OO,OR,OR,A' = A | !B,B' = !B | !A,2,1,1,1.5,2,1.0,2.0,3,1.0,0.0,0.25,1,0.1875,1.154700538379252,1,0,2,1.0,2,1.0,1.0,0.75,"[10,11]; 01",Hybrid Multimodal
78,7,7,36,"A⊣A,B→B,A→B,B→A",AA,AND,AND,A' = !A & B,B' = B & A,1,1,0,1.0,1,1.0,4.0,4,0.0,0.0,1.5,3,1.25,0.0,1,2,0,1.0,2,1.0,1.0,0.75,00,Stable Fixed-point
79,7,7,36,"A⊣A,B→B,A→B,B→A",OA,AND,OR,A' = !A | B,B' = B & A,2,1,1,1.5,2,1.0,2.0,3,1.0,0.0,0.25,1,0.1875,1.1547005383792517,1,0,2,1.0,2,1.0,1.0,0.75,"[00,10]; 11",Hybrid Multimodal
80,7,7,36,"A⊣A,B→B,A→B,B→A",OO,OR,OR,A' = !A | B,B' = B | A,1,1,0,1.0,1,1.0,4.0,4,0.0,0.0,1.5,3,1.25,0.0,1,2,0,1.0,2,1.0,1.0,0.75,11,Stable Fixed-point
81,7,8,37,"A⊣A,B⊣B,A→B,B→A",AA,AND,AND,A' = !A & B,B' = !B & A,2,1,1,1.5,2,1.0,2.0,2,0.0,0.0,0.25,1,0.1875,1.1547005383792517,1,0,2,1.0,2,1.5,1.0,0.75,"00; [01,10]",Hybrid Multimodal
82,7,8,37,"A⊣A,B⊣B,A→B,B→A",OA,AND,OR,A' = !A | B,B' = !B & A,1,0,1,2.0,2,1.0,4.0,4,0.0,0.0,0.5,1,0.25,0.0,2,0,2,1.0,3,1.5,1.0,0.75,"[01,10]",Pure Oscillatory
83,7,8,37,"A⊣A,B⊣B,A→B,B→A",OO,OR,OR,A' = !A | B,B' = !B | A,2,1,1,1.5,2,1.0,2.0,2,0.0,0.0,0.25,1,0.1875,1.154700538379252,1,0,2,1.0,2,1.5,1.0,0.75,"11; [01,10]",Hybrid Multimodal
84,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",AA,AND,AND,A' = !A & !B,B' = !B & A,1,0,1,3.0,3,1.0,4.0,4,0.0,0.0,0.25,1,0.1875,1.1547005383792517,1,0,2,1.0,2,1.5,1.0,0.75,"[00,01,10]",Pure Oscillatory
85,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",OA,AND,OR,A' = !A | !B,B' = !B & A,1,0,1,3.0,3,1.0,4.0,4,0.0,0.0,0.25,1,0.1875,1.1547005383792517,1,0,2,1.0,2,1.5,1.0,0.75,"[00,10,11]",Pure Oscillatory
86,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",OO,OR,OR,A' = !A | !B,B' = !B | A,1,0,1,3.0,3,1.0,4.0,4,0.0,0.0,0.25,1,0.1875,1.154700538379252,1,0,2,1.0,2,1.5,1.0,0.75,"[01,10,11]",Pure Oscillatory
87,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",AA,AND,AND,A' = !A & !B,B' = !B & !A,1,0,1,2.0,2,1.0,4.0,4,0.0,0.0,0.5,1,0.25,0.0,2,0,2,1.0,3,1.5,1.0,0.75,"[00,11]",Pure Oscillatory
88,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",OA,AND,OR,A' = !A | !B,B' = !B & !A,2,1,1,1.5,2,1.0,2.0,2,0.0,0.0,0.25,1,0.1875,1.1547005383792517,1,0,2,1.0,2,1.5,1.0,0.75,"[00,11]; 10",Hybrid Multimodal
89,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",OO,OR,OR,A' = !A | !B,B' = !B | !A,1,0,1,2.0,2,1.0,4.0,4,0.0,0.0,0.5,1,0.25,0.0,2,0,2,1.0,3,1.5,1.0,0.75,"[00,11]",Pure Oscillatory
