network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,gate_A,gate_B,rule_A,rule_B,edge_AA,edge_AB,edge_BA,edge_BB,start_state,A_update_only,B_update_only
39,5,6,19,"A⊣A,A→B,B⊣A",OA,AND,OR,A' = !A | !B,B' = A,-1,1,-1,0,10,10,11
39,5,6,19,"A⊣A,A→B,B⊣A",OA,AND,OR,A' = !A | !B,B' = A,-1,1,-1,0,11,01,11
40,5,7,20,"A⊣A,A⊣B,B→A",AA,AND,AND,A' = !A & B,B' = !A,-1,-1,1,0,00,00,01
40,5,7,20,"A⊣A,A⊣B,B→A",AA,AND,AND,A' = !A & B,B' = !A,-1,-1,1,0,01,11,01
40,5,7,20,"A⊣A,A⊣B,B→A",AA,AND,AND,A' = !A & B,B' = !A,-1,-1,1,0,10,00,10
40,5,7,20,"A⊣A,A⊣B,B→A",AA,AND,AND,A' = !A & B,B' = !A,-1,-1,1,0,11,01,10
41,5,7,20,"A⊣A,A⊣B,B→A",OA,AND,OR,A' = !A | B,B' = !A,-1,-1,1,0,00,10,01
41,5,7,20,"A⊣A,A⊣B,B→A",OA,AND,OR,A' = !A | B,B' = !A,-1,-1,1,0,01,11,01
41,5,7,20,"A⊣A,A⊣B,B→A",OA,AND,OR,A' = !A | B,B' = !A,-1,-1,1,0,10,00,10
41,5,7,20,"A⊣A,A⊣B,B→A",OA,AND,OR,A' = !A | B,B' = !A,-1,-1,1,0,11,11,10
42,5,8,21,"A⊣A,A⊣B,B⊣A",AA,AND,AND,A' = !A & !B,B' = !A,-1,-1,-1,0,00,10,01
42,5,8,21,"A⊣A,A⊣B,B⊣A",AA,AND,AND,A' = !A & !B,B' = !A,-1,-1,-1,0,01,01,01
42,5,8,21,"A⊣A,A⊣B,B⊣A",AA,AND,AND,A' = !A & !B,B' = !A,-1,-1,-1,0,10,00,10
42,5,8,21,"A⊣A,A⊣B,B⊣A",AA,AND,AND,A' = !A & !B,B' = !A,-1,-1,-1,0,11,01,10
43,5,8,21,"A⊣A,A⊣B,B⊣A",OA,AND,OR,A' = !A | !B,B' = !A,-1,-1,-1,0,00,10,01
43,5,8,21,"A⊣A,A⊣B,B⊣A",OA,AND,OR,A' = !A | !B,B' = !A,-1,-1,-1,0,01,11,01
43,5,8,21,"A⊣A,A⊣B,B⊣A",OA,AND,OR,A' = !A | !B,B' = !A,-1,-1,-1,0,10,10,10
43,5,8,21,"A⊣A,A⊣B,B⊣A",OA,AND,OR,A' = !A | !B,B' = !A,-1,-1,-1,0,11,01,10
44,6,1,22,"A→A,B→B,A→B",AA,AND,AND,A' = A & B,B' = B,1,0,1,1,00,00,00
44,6,1,22,"A→A,B→B,A→B",AA,AND,AND,A' = A & B,B' = B,1,0,1,1,01,01,01
44,6,1,22,"A→A,B→B,A→B",AA,AND,AND,A' = A & B,B' = B,1,0,1,1,10,00,10
44,6,1,22,"A→A,B→B,A→B",AA,AND,AND,A' = A & B,B' = B,1,0,1,1,11,11,11
45,6,1,22,"A→A,B→B,A→B",OA,AND,OR,A' = A | B,B' = B,1,0,1,1,00,00,00
45,6,1,22,"A→A,B→B,A→B",OA,AND,OR,A' = A | B,B' = B,1,0,1,1,01,11,01
45,6,1,22,"A→A,B→B,A→B",OA,AND,OR,A' = A | B,B' = B,1,0,1,1,10,10,10
45,6,1,22,"A→A,B→B,A→B",OA,AND,OR,A' = A | B,B' = B,1,0,1,1,11,11,11
46,6,2,23,"A→A,B→B,A⊣B",AA,AND,AND,A' = A & !B,B' = B,1,0,-1,1,00,00,00
46,6,2,23,"A→A,B→B,A⊣B",AA,AND,AND,A' = A & !B,B' = B,1,0,-1,1,01,01,01
