network_id,Number of Edges,Density,Strongly Connected,Number of SCCs,Largest SCC Size,Avg In-Degree,Avg Out-Degree,Max In-Degree,Max Out-Degree,Has Cycle,Number of Cycles,Number of Limit Cycles,Max Cycle Length,Avg Cycle Length,Shannon Entropy (Out-degree),Shannon Entropy (In-degree),Transition Entropy,Basin Entropy,Spectral Radius,Algebraic Connectivity,Number of Attractors,Number of Fixed Points,Has Fixed Point Attractor,Avg Attractor Length,Max Attractor Length,Attractor Coverage,Avg Basin Size,Max Basin Size,Basin Size Variance,Basin Size Skewness,Average Transient Length,Maximum Transient Length,Diameter,Average Shortest Path Length,Garden of Eden Count,Common Sea Count,Specific Part Count,Derrida Coefficient,Average Sensitivity
39,0.0,0.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,-1.0,1.0437784801966772,-0.0,0.2720196495140699,0.9999999999999997,0.0,-0.5,-1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,1.0,1.8253968253968245,-1.0,-0.5,0.5,0.0,0.0
40,0.0,0.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,-1.0,1.0437784801966772,-0.0,0.2720196495140692,0.9999999999999997,0.0,-0.5,-1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,1.0,1.8253968253968245,-1.0,-0.5,0.5,0.0,0.0
41,0.0,0.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,-1.0,1.0437784801966772,-0.0,0.272019649514069,0.9999999999999997,0.0,-0.5,-1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,1.0,1.8253968253968245,-1.0,-0.5,0.5,0.0,0.0
42,0.5,0.49999999999999983,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23262290680731132,0.7259824578787191,-0.16382149658327588,-0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0
43,0.5,0.49999999999999983,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23262290680731132,0.7259824578787191,-0.16382149658327588,-0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0
44,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.05722018388784843,1.0,0.0,-0.41421356237309537,2.0,1.0,0.0,0.0,0.0,0.5,-1.777777777777778,-2.0,1.0,0.7071067811865479,-0.3333333333333333,0.0,-1.0,-0.9523809523809526,0.0,-0.5,0.5,0.0,0.0
45,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.05722018388784843,1.0,0.0,-0.41421356237309537,2.0,1.0,0.0,0.0,0.0,0.5,-1.777777777777778,-2.0,1.0,0.7071067811865479,-0.3333333333333333,0.0,-1.0,-0.9523809523809526,0.0,-0.5,0.5,0.0,0.0
46,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.05722018388784843,1.0,0.0,-0.41421356237309537,2.0,1.0,0.0,0.0,0.0,0.5,-1.777777777777778,-2.0,1.0,0.7071067811865479,-0.3333333333333333,0.0,-1.0,-0.9523809523809526,0.0,-0.5,0.5,0.0,0.0
47,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.05722018388784843,1.0,0.0,-0.41421356237309537,2.0,1.0,0.0,0.0,0.0,0.5,-1.777777777777778,-2.0,1.0,0.7071067811865479,-0.3333333333333333,0.0,-1.0,-0.9523809523809526,0.0,-0.5,0.5,0.0,0.0
48,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0437784801966772,-0.0,1.8034154392054802e-08,-1.5700924586837762e-16,0.0,-0.5,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.7142857142857139,-1.0,0.0,0.0,0.0,0.0
