network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,rule_A,rule_B,from_state,to_state,update_scheme,selected_node,is_self_loop
61,7,1,30,"A→A,B→B,A→B,B→A",OA,A' = A | B,B' = B & A,11,11,sync,A+B,1
62,7,1,30,"A→A,B→B,A→B,B→A",OO,A' = A | B,B' = B | A,00,00,sync,A+B,1
62,7,1,30,"A→A,B→B,A→B,B→A",OO,A' = A | B,B' = B | A,01,11,sync,A+B,0
62,7,1,30,"A→A,B→B,A→B,B→A",OO,A' = A | B,B' = B | A,10,11,sync,A+B,0
62,7,1,30,"A→A,B→B,A→B,B→A",OO,A' = A | B,B' = B | A,11,11,sync,A+B,1
63,7,2,31,"A→A,B→B,A→B,B⊣A",AA,A' = A & !B,B' = B & A,00,00,sync,A+B,1
63,7,2,31,"A→A,B→B,A→B,B⊣A",AA,A' = A & !B,B' = B & A,01,00,sync,A+B,0
63,7,2,31,"A→A,B→B,A→B,B⊣A",AA,A' = A & !B,B' = B & A,10,10,sync,A+B,1
63,7,2,31,"A→A,B→B,A→B,B⊣A",AA,A' = A & !B,B' = B & A,11,01,sync,A+B,0
64,7,2,31,"A→A,B→B,A→B,B⊣A",OA,A' = A | !B,B' = B & A,00,10,sync,A+B,0
64,7,2,31,"A→A,B→B,A→B,B⊣A",OA,A' = A | !B,B' = B & A,01,00,sync,A+B,0
64,7,2,31,"A→A,B→B,A→B,B⊣A",OA,A' = A | !B,B' = B & A,10,10,sync,A+B,1
64,7,2,31,"A→A,B→B,A→B,B⊣A",OA,A' = A | !B,B' = B & A,11,11,sync,A+B,1
65,7,2,31,"A→A,B→B,A→B,B⊣A",OO,A' = A | !B,B' = B | A,00,10,sync,A+B,0
65,7,2,31,"A→A,B→B,A→B,B⊣A",OO,A' = A | !B,B' = B | A,01,01,sync,A+B,1
65,7,2,31,"A→A,B→B,A→B,B⊣A",OO,A' = A | !B,B' = B | A,10,11,sync,A+B,0
65,7,2,31,"A→A,B→B,A→B,B⊣A",OO,A' = A | !B,B' = B | A,11,11,sync,A+B,1
66,7,3,32,"A→A,B→B,A⊣B,B⊣A",AA,A' = A & !B,B' = B & !A,00,00,sync,A+B,1
